"author fan count","original message","original message sentiment","original message received timestamp","response timestamp","response time (minutes)"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:43","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:43","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:44","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:45","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:45","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:46","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:47","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:47","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:48","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:49","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:49","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:50","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:51","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:51","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:52","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:53","0"
"","testing","neutral","2022-08-18 17:36:05","2022-08-18 17:36:53","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:17","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:17","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:19","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:19","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:20","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:20","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:20","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:21","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:22","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:22","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:23","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:23","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:24","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:24","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:25","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:25","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:26","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:26","0"
"","testing","neutral","2022-08-18 17:36:39","2022-08-18 17:37:27","0"
"","testing","neutral","2022-08-18 17:37:15","2022-08-18 17:37:17","0"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:19","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:21","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:24","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:25","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:25","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:26","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:27","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:28","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-18 17:37:23","0"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:31","803"
"","testing","neutral","2022-08-18 17:37:15","2022-08-19 07:00:32","803"
